IMIĘ DRUGIE,PŁEĆ,LICZBA WYSTĄPIEŃ
ASHLEY,KOBIETA,107
YAEL,KOBIETA,107
CHARLOTTA,KOBIETA,107
FLORIANA,KOBIETA,107
CHIARA,KOBIETA,107
RAISA,KOBIETA,107
ZOSIA,KOBIETA,105
ANIA,KOBIETA,105
MAKSYMILIANA,KOBIETA,105
BERNADETTE,KOBIETA,104
LEILA,KOBIETA,103
RENA,KOBIETA,103
LINH,KOBIETA,103
WITOLDA,KOBIETA,103
EMILIE,KOBIETA,102
GABRIELLE,KOBIETA,102
ALBERTA,KOBIETA,102
LUBOMIŁA,KOBIETA,102
SOL,KOBIETA,102
ŻAKLIN,KOBIETA,101
BIRUTA,KOBIETA,101
ELENI,KOBIETA,101
ZEFIRYNA,KOBIETA,101
CORNELIA,KOBIETA,101
JESSIKA,KOBIETA,101
CHANTAL,KOBIETA,100
TADEUSZA,KOBIETA,100
FRANZISKA,KOBIETA,99
TINA,KOBIETA,98
LINA,KOBIETA,98
NASTAZJA,KOBIETA,97
DANIELLE,KOBIETA,97
DOROTHY,KOBIETA,97
VIVIEN,KOBIETA,97
PALOMA,KOBIETA,97
NATASHA,KOBIETA,96
MARION,KOBIETA,96
WITA,KOBIETA,96
SZCZĘSNA,KOBIETA,95
KIM,KOBIETA,95
MAI,KOBIETA,95
AVA,KOBIETA,95
NELL,KOBIETA,94
HOPE,KOBIETA,94
VALERIA,KOBIETA,94
DOROTHEA,KOBIETA,93
MIRONA,KOBIETA,93
HENRIETA,KOBIETA,93
INGEBORG,KOBIETA,93
KATHLEEN,KOBIETA,93
BETINA,KOBIETA,93
NELLA,KOBIETA,93
MARIANNE,KOBIETA,93
EVELYN,KOBIETA,91
GEORGINA,KOBIETA,91
MARIAM,KOBIETA,91
LYDIA,KOBIETA,90
JEANNE,KOBIETA,90
DYONIZA,KOBIETA,89
LOTTA,KOBIETA,89
ELFRIEDE,KOBIETA,88
ELIGIA,KOBIETA,88
BERNADYNA,KOBIETA,88
SUSANNE,KOBIETA,88
INA,KOBIETA,88
HERMENEGILDA,KOBIETA,88
ELFRIEDA,KOBIETA,87
RENATE,KOBIETA,87
LEAH,KOBIETA,87
IWETA,KOBIETA,87
KLARYSA,KOBIETA,87
MARIANA,KOBIETA,87
SAMIRA,KOBIETA,87
KATARINA,KOBIETA,86
DINA,KOBIETA,86
MAURA,KOBIETA,86
IGNACJA,KOBIETA,86
KASIA,KOBIETA,86
TELIMENA,KOBIETA,86
TOMIRA,KOBIETA,86
MEGAN,KOBIETA,86
SCARLETT,KOBIETA,85
GRAZYNA,KOBIETA,85
VIVIANA,KOBIETA,85
CHRISTA,KOBIETA,85
IWA,KOBIETA,85
CHELSEA,KOBIETA,84
NADINE,KOBIETA,84
STEFANIE,KOBIETA,84
SYLWANA,KOBIETA,84
MARÍA,KOBIETA,84
ZELMA,KOBIETA,84
BEATRICE,KOBIETA,83
KATRIN,KOBIETA,83
MOHAMED,KOBIETA,83
JUTTA,KOBIETA,83
KAMA,KOBIETA,82
STANISLAWA,KOBIETA,82
GRACIELA,KOBIETA,82
MADELEINE,KOBIETA,82
ELIANA,KOBIETA,82
VANESA,KOBIETA,80
VIKTORIIA,KOBIETA,80
AGRYPINA,KOBIETA,80
INEZA,KOBIETA,80
HORTENSJA,KOBIETA,80
NIKOLETA,KOBIETA,80
LAYLA,KOBIETA,79
BRIGIDA,KOBIETA,79
HIACENTA,KOBIETA,79
EDWINA,KOBIETA,79
DIANE,KOBIETA,78
RAE,KOBIETA,77
FLORENCE,KOBIETA,77
HENRIETTA,KOBIETA,77
JADE,KOBIETA,77
LEIGH,KOBIETA,77
MARYNA,KOBIETA,76
LORETTA,KOBIETA,76
MAGDALENE,KOBIETA,76
CYNTIA,KOBIETA,76
WITOSŁAWA,KOBIETA,76
-,KOBIETA,75
ALODIA,KOBIETA,75
GISELA,KOBIETA,75
KOLETA,KOBIETA,75
LOUISA,KOBIETA,75
JUTA,KOBIETA,75
ROZA,KOBIETA,75
SUSANNA,KOBIETA,75
ARLENA,KOBIETA,75
LAN,KOBIETA,74
FORTUNATA,KOBIETA,74
SOLEDAD,KOBIETA,74
SELMA,KOBIETA,73
BEATE,KOBIETA,73
FIONA,KOBIETA,73
MATILDA,KOBIETA,73
HILARIA,KOBIETA,73
ROMINA,KOBIETA,72
FLAWIA,KOBIETA,72
BELEN,KOBIETA,72
BIBIANA,KOBIETA,72
CAMILLE,KOBIETA,72
KAMELIA,KOBIETA,72
JOANNE,KOBIETA,72
KIARA,KOBIETA,72
SZARLOTTA,KOBIETA,71
ALEKSA,KOBIETA,71
BERNARDETTA,KOBIETA,71
FERDYNANDA,KOBIETA,71
LIA,KOBIETA,71
JULIETTA,KOBIETA,70
NORA,KOBIETA,70
VIVIENNE,KOBIETA,70
DEBORAH,KOBIETA,70
AMIRA,KOBIETA,70
MONIQUE,KOBIETA,70
MARGERITA,KOBIETA,70
INGRYDA,KOBIETA,70
JOAN,KOBIETA,70
META,KOBIETA,70
KESJA,KOBIETA,70
ANZELMA,KOBIETA,69
KWIRYNA,KOBIETA,69
OFELIA,KOBIETA,69
ANDŻELA,KOBIETA,69
DOMINIQUE,KOBIETA,68
WALTRAUT,KOBIETA,68
ARIANNA,KOBIETA,68
LAUREN,KOBIETA,68
MARYSIA,KOBIETA,68
NAWOJKA,KOBIETA,68
MARIJA,KOBIETA,67
MILADA,KOBIETA,67
THERESIA,KOBIETA,67
ISABELL,KOBIETA,67
MAIA,KOBIETA,67
AMINA,KOBIETA,67
FABIANA,KOBIETA,66
ALI,KOBIETA,66
DEVI,KOBIETA,66
ANATOLIA,KOBIETA,66
CIRILLA,KOBIETA,65
JANET,KOBIETA,65
ELSA,KOBIETA,65
ROSALIA,KOBIETA,65
ELIF,KOBIETA,65
INÉS,KOBIETA,65
DAMARIS,KOBIETA,65
KORA,KOBIETA,65
ANNAMARIA,KOBIETA,65
VITTORIA,KOBIETA,65
FILIPA,KOBIETA,65
HANNELORE,KOBIETA,64
CAMILLA,KOBIETA,64
KAYA,KOBIETA,64
LILLI,KOBIETA,64
JULIETTE,KOBIETA,64
XYMENA,KOBIETA,64
BLANCA,KOBIETA,64
NIKOLINA,KOBIETA,64
BRUNHILDA,KOBIETA,64
CHIOMA,KOBIETA,63
GEORGIA,KOBIETA,63
ANGEL,KOBIETA,63
KATHRIN,KOBIETA,63
JAGIENKA,KOBIETA,63
ELAINE,KOBIETA,63
JADWIGA KAZIMIERA,KOBIETA,63
GIULIA,KOBIETA,63
BELÉN,KOBIETA,63
VERA,KOBIETA,63
BOZENA,KOBIETA,63
